Core: hps_sdram_p0 - Instance: u0|hps_0|hps_io|border|hps_sdram_inst
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 85C Model)",0.549,0.536
"Bus Turnaround Time (Slow 1100mV 85C Model)",3.188,--
"Core (Slow 1100mV 85C Model)",1.73,0.143
"Core Recovery/Removal (Slow 1100mV 85C Model)",3.463,0.286
"DQS vs CK (Slow 1100mV 85C Model)",0.567,0.284
"Postamble (Slow 1100mV 85C Model)",0.424,0.424
"Read Capture (Slow 1100mV 85C Model)",0.231,0.184
"Write (Slow 1100mV 85C Model)",0.211,0.211
"Address Command (Slow 1100mV 0C Model)",0.541,0.536
"Bus Turnaround Time (Slow 1100mV 0C Model)",3.215,--
"Core (Slow 1100mV 0C Model)",1.727,0.162
"Core Recovery/Removal (Slow 1100mV 0C Model)",3.554,0.28
"DQS vs CK (Slow 1100mV 0C Model)",0.573,0.323
"Postamble (Slow 1100mV 0C Model)",0.411,0.411
"Read Capture (Slow 1100mV 0C Model)",0.247,0.2
"Write (Slow 1100mV 0C Model)",0.224,0.224
"Address Command (Fast 1100mV 85C Model)",0.602,0.569
"Bus Turnaround Time (Fast 1100mV 85C Model)",3.324,--
"Core (Fast 1100mV 85C Model)",2.11,0.084
"Core Recovery/Removal (Fast 1100mV 85C Model)",3.774,0.397
"DQS vs CK (Fast 1100mV 85C Model)",0.63,0.42
"Postamble (Fast 1100mV 85C Model)",0.516,0.516
"Read Capture (Fast 1100mV 85C Model)",0.368,0.321
"Write (Fast 1100mV 85C Model)",0.281,0.281
"Address Command (Fast 1100mV 0C Model)",0.581,0.594
"Bus Turnaround Time (Fast 1100mV 0C Model)",3.337,--
"Core (Fast 1100mV 0C Model)",2.11,0.077
"Core Recovery/Removal (Fast 1100mV 0C Model)",3.872,0.373
"DQS vs CK (Fast 1100mV 0C Model)",0.627,0.448
"Postamble (Fast 1100mV 0C Model)",0.521,0.521
"Read Capture (Fast 1100mV 0C Model)",0.368,0.321
"Write (Fast 1100mV 0C Model)",0.294,0.294
