# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Standard Edition
# File: D:\NMR_PCBv2_HDLv1_2018_FPGA\QUARTUS-SoC\pin_assignments\de0-nano-soc.csv
# Generated on: Fri Dec 07 17:34:39 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Location,Direction,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
ADC_CONVST,PIN_U9,Unknown,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_SCK,PIN_V10,Unknown,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_SDI,PIN_AC4,Unknown,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_SDO,PIN_AD4,Unknown,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[0],PIN_AG13,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[1],PIN_AF13,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[2],PIN_AG10,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[3],PIN_AG9,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[4],PIN_U14,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[5],PIN_U13,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[6],PIN_AG8,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[7],PIN_AH8,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[8],PIN_AF17,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[9],PIN_AE15,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[10],PIN_AF15,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[11],PIN_AG16,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[12],PIN_AH11,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[13],PIN_AH12,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[14],PIN_AH9,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[15],PIN_AG11,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_RESET_N,PIN_AH7,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
FPGA_CLK1_50,PIN_V11,Unknown,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
FPGA_CLK2_50,PIN_Y13,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
FPGA_CLK3_50,PIN_E11,Unknown,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[0],PIN_V12,Unknown,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[1],PIN_AF7,Unknown,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[2],PIN_W12,Unknown,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[3],PIN_AF8,Unknown,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[4],PIN_Y8,Unknown,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[5],PIN_AB4,Unknown,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[6],PIN_W8,Unknown,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[7],PIN_Y4,Unknown,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[8],PIN_Y5,Unknown,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[9],PIN_U11,Unknown,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[10],PIN_T8,Unknown,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[11],PIN_T12,Unknown,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[12],PIN_AH5,Unknown,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[13],PIN_AH6,Unknown,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[14],PIN_AH4,Unknown,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[15],PIN_AG5,Unknown,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[16],PIN_AH3,Unknown,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[17],PIN_AH2,Unknown,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[18],PIN_AF4,Unknown,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[19],PIN_AG6,Unknown,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[20],PIN_AF5,Unknown,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[21],PIN_AE4,Unknown,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[22],PIN_T13,Unknown,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[23],PIN_T11,Unknown,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[24],PIN_AE7,Unknown,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[25],PIN_AF6,Unknown,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[26],PIN_AF9,Unknown,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[27],PIN_AE8,Unknown,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[28],PIN_AD10,Unknown,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[29],PIN_AE9,Unknown,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[30],PIN_AD11,Unknown,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[31],PIN_AF10,Unknown,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[32],PIN_AD12,Unknown,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[33],PIN_AE11,Unknown,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[34],PIN_AF11,Unknown,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[35],PIN_AE12,Unknown,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[0],PIN_Y15,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[1],PIN_AG28,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[2],PIN_AA15,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[3],PIN_AH27,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[4],PIN_AG26,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[5],PIN_AH24,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[6],PIN_AF23,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[7],PIN_AE22,Unknown,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
